branch,lines,interruption_pct,interruption_type,trial,recovery_ms
wal,1000000,50,stop,6,657.963
wal,1000000,50,stop,7,670.092
wal,1000000,50,stop,8,680.449
wal,1000000,50,stop,9,698.829
wal,1000000,50,stop,10,688.777
nowal,1000000,50,stop,1,1054.562
nowal,1000000,50,stop,2,1089.510
nowal,1000000,50,stop,3,1084.341
nowal,1000000,50,stop,4,1160.144
nowal,1000000,50,stop,5,1062.714
nowal,1000000,50,stop,6,1083.235
nowal,1000000,50,stop,7,1056.152
nowal,1000000,50,stop,8,1069.624
nowal,1000000,50,stop,9,1029.991
nowal,1000000,50,stop,10,1044.794
wal,1000000,50,kill,1,955.265
wal,1000000,50,kill,2,949.834
wal,1000000,50,kill,3,972.035
wal,1000000,50,kill,4,954.304
wal,1000000,50,kill,5,950.211
wal,1000000,50,kill,6,946.030
wal,1000000,50,kill,7,964.669
wal,1000000,50,kill,8,954.502
wal,1000000,50,kill,9,956.902
wal,1000000,50,kill,10,997.569
nowal,1000000,50,kill,1,1046.851
nowal,1000000,50,kill,2,1092.457
nowal,1000000,50,kill,3,1048.878
nowal,1000000,50,kill,4,1086.892
nowal,1000000,50,kill,5,1086.685
nowal,1000000,50,kill,6,1066.884
nowal,1000000,50,kill,7,1045.882
nowal,1000000,50,kill,8,1051.480
nowal,1000000,50,kill,9,1086.001
nowal,1000000,50,kill,10,1075.483
wal,1000000,100,stop,1,1481.902
wal,1000000,100,stop,2,1421.094
wal,1000000,100,stop,3,1438.999
wal,1000000,100,stop,4,1399.116
wal,1000000,100,stop,5,1466.201
wal,1000000,100,stop,6,1487.256
wal,1000000,100,stop,7,1371.050
wal,1000000,100,stop,8,1471.125
wal,1000000,100,stop,9,1340.521
wal,1000000,100,stop,10,1400.853
nowal,1000000,100,stop,1,2259.885
nowal,1000000,100,stop,2,2396.428
nowal,1000000,100,stop,3,2213.039
nowal,1000000,100,stop,4,2255.479
nowal,1000000,100,stop,5,2235.625
nowal,1000000,100,stop,6,2190.883
nowal,1000000,100,stop,7,2307.349
nowal,1000000,100,stop,8,2270.037
nowal,1000000,100,stop,9,2255.991
nowal,1000000,100,stop,10,2314.786
wal,1000000,100,kill,1,1580.697
wal,1000000,100,kill,2,1665.668
wal,1000000,100,kill,3,1645.071
wal,1000000,100,kill,4,1656.214
wal,1000000,100,kill,5,1655.722
wal,1000000,100,kill,6,1624.571
wal,1000000,100,kill,7,1599.866
wal,1000000,100,kill,8,1604.753
wal,1000000,100,kill,9,1599.884
wal,1000000,100,kill,10,1597.499
nowal,1000000,100,kill,1,2242.611
nowal,1000000,100,kill,2,2213.306
nowal,1000000,100,kill,3,2190.373
nowal,1000000,100,kill,4,2179.104
nowal,1000000,100,kill,5,2243.249
nowal,1000000,100,kill,6,2150.839
nowal,1000000,100,kill,7,2222.194
nowal,1000000,100,kill,8,2126.270
nowal,1000000,100,kill,9,2166.511
nowal,1000000,100,kill,10,2134.685
